what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979930692
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979933913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979941133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979948084
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979967346
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979967396
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979967406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979968296
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979998591
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979998651
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979998651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979999731
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551980007572
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551980007622
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551980007632
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551980008422
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551980014976
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551980015046
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551980015056
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551980025867
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551980025957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551980026937
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551980045990
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551980046060
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551980046070
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551980047810
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551980047950
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551980052522
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551980053612
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551980055792
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551980060462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551980064713
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551980064753
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551980067383
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551980069043
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551980069083
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551980073163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551980676316
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551980678546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551980748394
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551980752165
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551981233888
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551981245333
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551981259794
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551981261184
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551981262054
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551981264734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551981282963
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551981283923
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551981284073
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551981284403
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551981284953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551981314843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551981316584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552016385956
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552016387236
